Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,AQI Category_encoded,CO AQI Category_encoded,Ozone AQI Category_encoded,NO2 AQI Category_encoded,PM2.5 AQI Category_encoded,Total_Pollution_Score,Country_encoded,City_encoded
Honduras,Santa Cruz De Yojoa,80.0,1.0,5.0,3.0,80.0,1,0,0,0,1,26.2,66,18265
Brazil,Santa Isabel,139.0,1.0,2.0,10.0,145.0,3,0,0,0,3,54.0,22,18285
Brazil,Santana Do Livramento,18.0,1.0,18.0,0.0,6.0,0,0,0,0,0,6.5,22,18327
Spain,Santander,44.0,1.0,44.0,0.0,25.0,0,0,0,0,0,18.5,146,18329
Brazil,Santo Amaro Da Imperatriz,94.0,1.0,15.0,6.0,94.0,1,0,0,0,1,34.050000000000004,22,18345
Brazil,Santo Augusto,26.0,1.0,15.0,0.0,26.0,0,0,0,0,0,11.75,22,18358
Brazil,Sao Caetano Do Sul,139.0,1.0,0.0,10.0,145.0,3,0,0,0,3,62.7,22,18378
Brazil,Sao Gabriel,18.0,1.0,15.0,1.0,18.0,0,0,0,0,0,9.599999999999998,22,18392
Brazil,Sao Jose Da Tapera,22.0,1.0,11.0,1.0,22.0,0,0,0,0,0,9.6,22,18420
Brazil,Sao Jose De Ribamar,53.0,1.0,20.0,0.0,53.0,1,0,0,0,1,21.099999999999998,22,18422
Brazil,Sao Lourenco,62.0,1.0,4.0,5.0,62.0,1,0,0,0,1,21.249999999999996,22,18431
Italy,Marigliano,49.0,1.0,49.0,3.0,49.0,0,0,0,0,0,27.9,75,12519
Brazil,Maringa,22.0,1.0,8.0,1.0,22.0,0,0,0,0,0,9.049999999999999,22,12528
Iran (Islamic Republic of),Marivan,84.0,1.0,48.0,0.0,84.0,1,0,0,0,1,37.400000000000006,71,12534
Madagascar,Maroantsetra,22.0,1.0,22.0,0.0,7.0,0,0,0,0,0,7.6,92,12557
Indonesia,Martapura,28.0,1.0,20.0,0.0,28.0,0,0,0,0,0,13.6,70,12582
Lesotho,Maseru,134.0,1.0,5.0,3.0,134.0,2,0,0,0,2,43.4,87,12623
Belarus,Masty,35.0,1.0,35.0,0.0,18.0,0,0,0,0,0,14.349999999999998,14,12652
Canada,Matane,54.0,1.0,24.0,1.0,54.0,1,0,0,0,1,22.45,29,12669
Brazil,Matelandia,18.0,1.0,18.0,0.0,14.0,0,0,0,0,0,8.7,22,12680
Bangladesh,Mathbaria,139.0,1.0,34.0,2.0,145.0,3,0,0,0,3,60.2,12,12685
Belarus,Mazyr,40.0,1.0,27.0,1.0,40.0,0,0,0,0,0,19.2,14,12775
Malaysia,Melaka,61.0,1.0,31.0,0.0,61.0,1,0,0,0,1,26.25,94,12853
Uruguay,Melo,25.0,1.0,25.0,0.0,4.0,0,0,0,0,0,7.45,167,12870
Greece,Menemeni,39.0,1.0,39.0,1.0,18.0,0,0,0,0,0,15.599999999999998,60,12897
United States of America,Menomonee Falls,66.0,1.0,15.0,10.0,66.0,1,0,0,0,1,27.95,166,12905
France,Merignac,52.0,1.0,28.0,2.0,52.0,1,0,0,0,1,23.3,54,12937
South Africa,Messina,55.0,1.0,17.0,1.0,55.0,1,0,0,0,1,21.2,144,12963
Japan,Minamiashigara,62.0,1.0,62.0,1.0,40.0,1,0,1,0,0,27.95,77,13105
Mexico,Minatitlan,66.0,1.0,25.0,2.0,66.0,1,0,0,0,1,26.75,100,13107
Italy,Minturno,47.0,1.0,47.0,0.0,31.0,0,0,0,0,0,21.249999999999996,75,13137
United States of America,Moche,31.0,1.0,15.0,1.0,31.0,0,0,0,0,0,13.499999999999998,166,13240
